,exp_name,task_number,task_trained_on,model,lambda,accuracy
naive_train22_eval1,exp1,1,22,naive,,32.0
foolish_train22_eval1,exp1,1,22,foolish,,33.0
EWC_train22_eval1,exp1,1,22,EWC,0.4,21.5
naive_train23_eval1,exp1,1,23,naive,,49.0
foolish_train23_eval1,exp1,1,23,foolish,,48.0
EWC_train23_eval1,exp1,1,23,EWC,0.4,41.5
naive_train24_eval1,exp1,1,24,naive,,48.5
foolish_train24_eval1,exp1,1,24,foolish,,48.0
EWC_train24_eval1,exp1,1,24,EWC,0.4,42.5
naive_train25_eval1,exp1,1,25,naive,,25.0
foolish_train25_eval1,exp1,1,25,foolish,,53.0
EWC_train25_eval1,exp1,1,25,EWC,0.4,52.5
naive_train26_eval1,exp1,1,26,naive,,59.0
foolish_train26_eval1,exp1,1,26,foolish,,54.0
EWC_train26_eval1,exp1,1,26,EWC,0.4,63.5
naive_train27_eval1,exp1,1,27,naive,,50.0
foolish_train27_eval1,exp1,1,27,foolish,,51.0
EWC_train27_eval1,exp1,1,27,EWC,0.4,67.5
naive_train28_eval1,exp1,1,28,naive,,26.5
foolish_train28_eval1,exp1,1,28,foolish,,42.5
EWC_train28_eval1,exp1,1,28,EWC,0.4,43.0
naive_train29_eval1,exp1,1,29,naive,,37.0
foolish_train29_eval1,exp1,1,29,foolish,,65.5
EWC_train29_eval1,exp1,1,29,EWC,0.4,40.5
naive_train30_eval1,exp1,1,30,naive,,49.5
foolish_train30_eval1,exp1,1,30,foolish,,62.5
EWC_train30_eval1,exp1,1,30,EWC,0.4,57.0
naive_train31_eval1,exp1,1,31,naive,,58.5
foolish_train31_eval1,exp1,1,31,foolish,,51.5
EWC_train31_eval1,exp1,1,31,EWC,0.4,49.5
naive_train32_eval1,exp1,1,32,naive,,64.5
foolish_train32_eval1,exp1,1,32,foolish,,63.0
EWC_train32_eval1,exp1,1,32,EWC,0.4,42.0
naive_train33_eval1,exp1,1,33,naive,,33.0
foolish_train33_eval1,exp1,1,33,foolish,,50.5
EWC_train33_eval1,exp1,1,33,EWC,0.4,60.5
naive_train34_eval1,exp1,1,34,naive,,56.5
foolish_train34_eval1,exp1,1,34,foolish,,56.5
EWC_train34_eval1,exp1,1,34,EWC,0.4,51.5
naive_train35_eval1,exp1,1,35,naive,,41.0
foolish_train35_eval1,exp1,1,35,foolish,,40.0
EWC_train35_eval1,exp1,1,35,EWC,0.4,39.5
naive_train36_eval1,exp1,1,36,naive,,32.0
foolish_train36_eval1,exp1,1,36,foolish,,31.0
EWC_train36_eval1,exp1,1,36,EWC,0.4,32.5
naive_train37_eval1,exp1,1,37,naive,,48.0
foolish_train37_eval1,exp1,1,37,foolish,,50.5
EWC_train37_eval1,exp1,1,37,EWC,0.4,35.0
naive_train38_eval1,exp1,1,38,naive,,48.5
foolish_train38_eval1,exp1,1,38,foolish,,51.5
EWC_train38_eval1,exp1,1,38,EWC,0.4,34.5
naive_train39_eval1,exp1,1,39,naive,,51.0
